angle	  | quarter	  | number	  | comparison																																																																																																																																										
181		  | 3		  | 2		  | 1F 																																																																																																																																												
182		  | 3		  | 2		  | 1F 																																																																																																																																												
183		  | 3		  | 2		  | 1T 																																																																																																																																												
184		  | 3		  | 2		  | 1F 																																																																																																																																												
185		  | 3		  | 2		  | 1F 																																																																																																																																												
186		  | 3		  | 2		  | 1F 																																																																																																																																												
187		  | 3		  | 2		  | 1F 																																																																																																																																												
188		  | 3		  | 2		  | 1F 																																																																																																																																												
189		  | 3		  | 2		  | 1F 																																																																																																																																												
190		  | 3		  | 2		  | 1F 																																																																																																																																												
191		  | 3		  | 2		  | 1F 																																																																																																																																												
192		  | 3		  | 2		  | 1F 																																																																																																																																												
193		  | 3		  | 2		  | 1F 																																																																																																																																												
194		  | 3		  | 2		  | 1F 																																																																																																																																												
195		  | 3		  | 2		  | 1T 																																																																																																																																												
196		  | 3		  | 2		  | 1F 																																																																																																																																												
197		  | 3		  | 2		  | 1F 1T 																																																																																																																																											
198		  | 3		  | 2		  | 1T 																																																																																																																																												
199		  | 3		  | 2		  | 1F 																																																																																																																																												
200		  | 3		  | 2		  | 																																																																																																																																												
